,ACCIDENT LOCATION,ACCIDENT Date,Killed NUMBER,Vehicle 1,Vehicle 2,Time (around),Part of the Day
0,osmaninagar,"June 12, 2023",3,truck,,4am,Night
1,kaliganj,"June 11, 2023",2,truck,bike,11pm,Night
2,lalmonirhat,"June 11, 2023",2,truck,bike,11pm,Night
5,naogaon,"June 05, 2023",4,truck,rickshaw,1 pm,Afternoon
6,kaliganj,"June 03, 2023",3,truck,rickshaw,11am,Morning
7,lalmonirhat,"June 03, 2023",3,truck,rickshaw,11am,Morning
8,madhupur,"June 02, 2023",8,bus,rickshaw,8am,Morning
10,feni,"June 01, 2023",3,pickup,,2am,Night
14,adamdighi,"May 28, 2023",10,bus,,8am,Morning
15,paikpara,"May 26, 2023",2,bike,bus,1pm,Afternoon
16,mirzapur,"May 26, 2023",2,bike,bus,1pm,Afternoon
17,dinajpur,"May 24, 2023",10,bus,,10am,Morning
18,jashore,"May 04, 2023",6,rickshaw,auto-rickshaw,7am,Morning
19,jhenaidah,"May 04, 2023",6,rickshaw,auto-rickshaw,7am,Morning
21,madaripur,"May 01, 2023",2,truck,,4am,Night
23,adamdighi,"April 30, 2023",4,motorcycle,car,10am,Morning
25,bhola,"April 18, 2023",3,rickshaw,auto-rickshaw,1pm,Afternoon
26,doulatkhan,"April 18, 2023",3,rickshaw,auto-rickshaw,1pm,Afternoon
27,narayanganj,"April 16, 2023",2,truck,rickshaw,7am,Morning
28,madanpur,"April 16, 2023",2,truck,rickshaw,7am,Morning
29,dinajpur,"April 16, 2023",12,bus,pickup,6am,Morning
30,birampur,"April 16, 2023",12,bus,pickup,6am,Morning
35,jamalpur,"April 09, 2023",3,truck,pickup,7am,Morning
40,dhaka,"April 01, 2023",1,motorcycle,bike,10pm,Night
41,uttara,"March 23, 2023",1,bus,train,7pm,Evening
42,gouripur,"March 23, 2023",2,truck,rickshaw,10pm,Night
43,bandarban,"March 20, 2023",4,truck,car,1pm,Afternoon
45,dhaka,"March 19, 2023",1,bike,truck,12am,Afternoon
48,khulna,"March 06, 2023",2,truck,pickup,4am,Night
50,gazaria,"March 05, 2023",2,bus,car,3am,Night
52,dhaka,"March 02, 2023",1,bus,,7am,Morning
53,jatrabari,"March 02, 2023",1,bus,,7am,Morning
54,dhaka,"February 27, 2023",1,truck,motorcycle,7am,Morning
55,dhaka,"February 26, 2023",5,truck,,5am,Morning
56,jatrabari,"February 26, 2023",5,truck,,5am,Morning
58,shajahanpur,"February 24, 2023",5,rickshaw,bus,11am,Morning
60,jatrabari,"February 23, 2023",1,bus,motorcycle,9am,Morning
61,puthia,"February 18, 2023",2,bike,truck,5pm,Afternoon
62,rajshahi,"February 18, 2023",2,bike,truck,5pm,Afternoon
63,mokamtala,"February 05, 2023",3,car,truck,9pm,Night
65,jatrabari,"February 04, 2023",1,bike,motorcycle,2pm,Afternoon
74,naogaon,"January 12, 2023",3,truck,,5am,Morning
75,rajshahi,"January 11, 2023",11,truck,bike,2 am,Night
76,rangpur,"January 11, 2023",11,truck,bike,2 am,Night
77,khulna,"January 04, 2023",6,motorcycle,rickshaw,11am,Morning
78,magura,"January 04, 2023",6,motorcycle,rickshaw,11am,Morning
81,bhanga,"December 29, 2022",3,car,truck,7am,Morning
82,gazipur,"December 27, 2022",1,bus,,7am,Morning
83,patuakhali,"December 26, 2022",3,motorcycle,bike,9pm,Night
84,kalapara,"December 26, 2022",3,motorcycle,bike,9pm,Night
85,daganbhuiyan,"December 25, 2022",8,bus,bike,11am,Morning
86,feni,"December 25, 2022",8,bus,bike,11am,Morning
87,meherpur,"December 24, 2022",7,truck,bus,9am,Morning
88,rangamati,"December 24, 2022",7,truck,bus,9am,Morning
90,sakhipur,"December 23, 2022",3,truck,motorcycle,9am,Morning
92,rangpur,"December 19, 2022",5,truck,rickshaw,6pm,Evening
94,tarakanda,"December 13, 2022",2,truck,rickshaw,11am,Morning
96,hakimpur,"December 12, 2022",2,motorcycle,,6pm,Evening
97,ishwardi,"December 08, 2022",1,truck,motorcycle,6am,Morning
98,pabna,"December 08, 2022",1,truck,motorcycle,6am,Morning
99,bahirchar,"December 03, 2022",2,truck,bike,7am,Morning
100,bheramara,"December 03, 2022",2,truck,bike,7am,Morning
103,faridpur,"November 19, 2022",2,motorcycle,,2pm,Afternoon
106,lalpur,"November 19, 2022",10,bus,motorcycle,11pm,Night
107,narsingdi,"November 15, 2022",3,bus,pickup,4am,Night
110,shahjahanpur,"November 12, 2022",3,bus,rickshaw,8pm,Night
115,munshiganj,"November 07, 2022",2,car,,10pm,Night
122,rangamati,"October 19, 2022",6,car,,11am,Morning
123,dhaka,"October 19, 2022",6,car,,11am,Morning
124,magura,"October 18, 2022",3,bus,motorcycle,1pm,Afternoon
125,chattogram,"October 18, 2022",3,bus,motorcycle,1pm,Afternoon
128,sylhet,"October 17, 2022",2,bus,,5am,Morning
129,gazipur,"October 15, 2022",4,bus,,8am,Morning
131,narsingdi,"October 12, 2022",2,bus,rickshaw,8am,Morning
133,shyampur,"October 11, 2022",2,bike,pickup,2pm,Afternoon
134,dhaka,"October 11, 2022",2,bike,pickup,2pm,Afternoon
136,jhenaidah,"October 08, 2022",3,motorcycle,truck,10pm,Night
139,bera,"October 06, 2022",6,bus,,12pm,Night
140,patuakhali,"September 25, 2022",4,truck,motorcycle,5am,Morning
142,bakerganj,"September 21, 2022",2,bike,bus,7am,Morning
146,kachua,"September 11, 2022",8,truck,rickshaw,2pm,Afternoon
148,khulna,"September 08, 2022",1,truck,,12am,Afternoon
151,nilphamari,"September 05, 2022",8,bus,,12am,Afternoon
152,nandigram,"September 04, 2022",2,truck,rickshaw,11am,Morning
153,bogura,"September 04, 2022",2,truck,rickshaw,11am,Morning
154,golapganj,"September 03, 2022",3,rickshaw,auto-rickshaw,9am,Morning
155,nakla,"August 23, 2022",11,truck,,7am,Morning
156,sherpur,"August 23, 2022",11,truck,,7am,Morning
158,bakerganj,"August 22, 2022",3,bus,,10am,Morning
161,shahjahanpur,"August 18, 2022",4,truck,rickshaw,6pm,Evening
162,dhaka,"August 14, 2022",1,rickshaw,,5am,Morning
163,muladi,"August 14, 2022",1,rickshaw,,5am,Morning
164,munshiganj,"August 14, 2022",5,bus,truck,3pm,Afternoon
165,pabna,"August 14, 2022",5,bus,truck,3pm,Afternoon
167,dhaka,"August 13, 2022",1,truck,,5am,Morning
170,chattogram,"August 03, 2022",3,bus,,7am,Morning
171,mirsharai,"August 02, 2022",1,truck,,8am,Morning
172,chattogram,"August 02, 2022",1,truck,,8am,Morning
174,habiganj,"July 31, 2022",7,truck,motorcycle,9am,Morning
175,sylhet,"July 31, 2022",7,truck,motorcycle,9am,Morning
176,sylhet,"July 29, 2022",7,bus,rickshaw,4am,Night
180,chattogram,"July 24, 2022",4,motorcycle,truck,3pm,Afternoon
182,sylhet,"July 20, 2022",6,rickshaw,bus,2pm,Afternoon
183,brahmanbaria,"July 19, 2022",3,bus,rickshaw,6pm,Evening
184,madanpur,"July 15, 2022",3,bus,car,10am,Morning
185,narayanganj,"July 15, 2022",3,bus,car,10am,Morning
187,dinajpur,"July 13, 2022",3,car,,11pm,Night
188,shyampur,"July 12, 2022",1,bus,,1pm,Afternoon
189,dhaka,"July 12, 2022",1,bus,,1pm,Afternoon
190,dhaka,"July 08, 2022",1,truck,bike,10am,Morning
195,jaintapur,"July 04, 2022",3,truck,motorcycle,3pm,Afternoon
196,sylhet,"July 04, 2022",3,truck,motorcycle,3pm,Afternoon
197,kishoreganj,"July 02, 2022",3,bus,truck,3pm,Afternoon
198,shibchar,"July 02, 2022",3,bus,truck,3pm,Afternoon
199,goalanda,"June 26, 2022",2,truck,bike,10pm,Night
200,faridpur,"June 26, 2022",2,truck,bike,10pm,Night
201,chattogram,"June 26, 2022",2,truck,motorcycle,11am,Morning
203,rajshahi,"June 22, 2022",3,truck,motorcycle,3pm,Afternoon
207,dhaka,"June 16, 2022",7,motorcycle,truck,7am,Morning
209,chattogram,"June 16, 2022",7,truck,motorcycle,12pm,Night
210,kushtia,"June 09, 2022",1,truck,,10am,Morning
213,pabna,"June 02, 2022",7,bus,truck,1pm,Afternoon
214,rajbari,"June 01, 2022",7,truck,rickshaw,3pm,Afternoon
215,pangsha,"June 01, 2022",7,truck,rickshaw,3pm,Afternoon
216,dhaka,"May 31, 2022",1,motorcycle,,1am,Night
217,mymensingh,"May 31, 2022",1,motorcycle,,1am,Night
218,dhaka,"May 26, 2022",1,bus,,8am,Morning
219,mymensingh,"May 26, 2022",1,bus,,8am,Morning
225,baraigram,"May 18, 2022",2,truck,bus,2am,Night
227,dinajpur,"May 16, 2022",2,truck,bike,12am,Afternoon
228,bochaganj,"May 16, 2022",2,truck,bike,12am,Afternoon
229,kamarpara,"May 15, 2022",9,truck,,9am,Morning
230,dhaka,"May 15, 2022",9,truck,,9am,Morning
233,mymensingh,"May 11, 2022",3,bus,truck,9am,Morning
234,chattogram,"May 11, 2022",3,bus,truck,9am,Morning
237,kushtia,"May 07, 2022",6,truck,motorcycle,10am,Morning
239,rangpur,"May 05, 2022",5,bus,car,7pm,Evening
240,jaintapur,"April 24, 2022",2,truck,,2pm,Afternoon
241,habiganj,"April 24, 2022",2,truck,,2pm,Afternoon
246,chattogram,"April 16, 2022",2,bus,truck,10am,Morning
247,sonaichhari,"April 16, 2022",2,bus,truck,10am,Morning
249,jatrapur,"April 09, 2022",5,truck,bike,8am,Morning
254,mymensingh,"April 07, 2022",3,truck,bike,1pm,Afternoon
255,sylhet,"April 07, 2022",4,motorcycle,bus,4pm,Afternoon
256,khulna,"March 31, 2022",2,motorcycle,bike,11pm,Night
258,dinajpur,"March 31, 2022",3,bike,,11pm,Night
261,sathia,"March 24, 2022",2,truck,,6am,Morning
262,pabna,"March 24, 2022",2,truck,,6am,Morning
264,nilphamari,"March 13, 2022",4,truck,motorcycle,3am,Night
265,dhaka,"March 12, 2022",5,bike,truck,1am,Night
267,shayestaganj,"March 11, 2022",3,bus,truck,10pm,Night
268,habiganj,"March 11, 2022",3,bus,truck,10pm,Night
269,amtoli,"March 07, 2022",7,pickup,,7am,Morning
270,barguna,"March 07, 2022",7,pickup,,7am,Morning
271,dinajpur,"March 05, 2022",2,truck,motorcycle,7am,Morning
272,rangamati,"March 05, 2022",2,truck,motorcycle,7am,Morning
275,bijoynagar,"March 02, 2022",4,rickshaw,auto-rickshaw,7am,Morning
276,brahmanbaria,"March 02, 2022",4,rickshaw,auto-rickshaw,7am,Morning
277,dhaka,"February 17, 2022",2,motorcycle,bike,3am,Night
279,dinajpur,"February 13, 2022",4,bus,truck,5am,Morning
280,gazipur,"February 13, 2022",4,bus,truck,5am,Morning
281,dinajpur,"February 12, 2022",2,bus,truck,5am,Morning
282,chattogram,"February 11, 2022",2,motorcycle,,1pm,Afternoon
285,dhaka,"February 08, 2022",7,car,truck,7am,Morning
287,dhaka,"February 04, 2022",2,truck,,8am,Morning
291,madaripur,"January 31, 2022",5,bus,car,8pm,Night
293,manikganj,"January 30, 2022",8,rickshaw,bus,2pm,Afternoon
294,gazipur,"January 30, 2022",8,rickshaw,bus,2pm,Afternoon
295,bhanga,"January 29, 2022",2,bike,truck,9pm,Night
296,ganna,"January 26, 2022",12,truck,motorcycle,12pm,Night
297,jhenaidah,"January 26, 2022",12,truck,motorcycle,12pm,Night
298,rangpur,"January 23, 2022",4,bus,rickshaw,7pm,Evening
300,mymensingh,"January 15, 2022",5,truck,motorcycle,6pm,Evening
301,mirpur,"January 12, 2022",8,truck,motorcycle,8am,Morning
302,kushtia,"January 12, 2022",8,truck,motorcycle,8am,Morning
306,chattogram,"January 09, 2022",2,truck,bus,11am,Morning
310,dhaka,"January 06, 2022",1,truck,,12am,Afternoon
312,faridpur,"January 01, 2022",2,motorcycle,bus,8pm,Night
313,nagarkanda,"January 01, 2022",2,motorcycle,bus,8pm,Night
314,narail,"December 31, 2021",6,bus,rickshaw,11am,Morning
315,ullapara,"December 31, 2021",6,bus,rickshaw,11am,Morning
318,nawabganj,"December 28, 2021",4,truck,rickshaw,7am,Morning
319,dhaka,"December 28, 2021",4,truck,rickshaw,7am,Morning
321,nawabganj,"December 27, 2021",4,truck,rickshaw,7am,Morning
322,lohagara,"December 26, 2021",9,bike,motorcycle,9pm,Night
323,chattogram,"December 26, 2021",9,bike,motorcycle,9pm,Night
324,chattogram,"December 25, 2021",3,bus,car,5am,Morning
326,chattogram,"December 23, 2021",3,motorcycle,,1am,Night
327,begumganj,"December 23, 2021",3,motorcycle,,1am,Night
331,manikganj,"December 18, 2021",2,bike,,9pm,Night
333,sherpur,"December 18, 2021",1,bus,car,3am,Night
338,thakurgaon,"December 11, 2021",2,truck,car,9pm,Night
344,tangail,"December 04, 2021",7,truck,rickshaw,1pm,Afternoon
345,kalihati,"December 04, 2021",7,truck,rickshaw,1pm,Afternoon
346,kumira,"December 03, 2021",1,truck,rickshaw,9pm,Night
347,sitakunda,"December 03, 2021",1,truck,rickshaw,9pm,Night
350,sunamganj,"November 22, 2021",3,bus,truck,8pm,Night
352,magura,"November 15, 2021",3,bike,,7 pm,Evening
355,ghatail,"November 09, 2021",6,motorcycle,bus,9am,Morning
356,chattogram,"November 06, 2021",2,car,rickshaw,8pm,Night
358,gulshan,"November 01, 2021",4,truck,rickshaw,11pm,Night
363,madhabpur,"October 27, 2021",2,truck,bus,4am,Night
364,habiganj,"October 27, 2021",2,truck,bus,4am,Night
366,amtoli,"October 23, 2021",1,bus,,3pm,Afternoon
367,chattogram,"October 23, 2021",1,bus,,3pm,Afternoon
368,chandradighalia,"October 22, 2021",4,pickup,,5am,Morning
369,gopalganj,"October 22, 2021",4,pickup,,5am,Morning
370,sreepur,"October 17, 2021",2,bike,truck,8pm,Night
372,sitakunda,"October 10, 2021",2,truck,,8am,Morning
373,chattogram,"October 10, 2021",2,truck,,8am,Morning
376,magura,"September 27, 2021",3,truck,rickshaw,10am,Morning
378,sylhet,"September 27, 2021",3,truck,rickshaw,3pm,Afternoon
379,sonadanga,"September 27, 2021",3,truck,rickshaw,3pm,Afternoon
380,sunamganj,"September 25, 2021",3,pickup,truck,2am,Night
383,sreerampur,"September 23, 2021",2,bike,pickup,9am,Morning
384,manda,"September 23, 2021",2,bike,pickup,9am,Morning
385,shajahanpur,"September 19, 2021",1,bus,,9pm,Night
386,bogura,"September 19, 2021",1,bus,,9pm,Night
388,sylhet,"September 19, 2021",8,rickshaw,bus,10am,Morning
389,kalia,"September 17, 2021",2,car,truck,11pm,Night
390,narail,"September 17, 2021",2,car,truck,11pm,Night
392,magura,"September 13, 2021",4,bus,car,3pm,Afternoon
394,burichang,"September 11, 2021",3,truck,rickshaw,6am,Morning
397,debipur,"September 05, 2021",2,truck,bike,8pm,Night
398,dhaka,"September 05, 2021",2,truck,bike,8pm,Night
399,gobindaganj,"August 21, 2021",3,bus,bike,9pm,Night
401,habiganj,"August 16, 2021",6,rickshaw,auto-rickshaw,7am,Morning
411,kushtia,"July 14, 2021",2,motorcycle,,6am,Morning
412,gobindaganj,"July 12, 2021",2,truck,pickup,7am,Morning
413,gaibandha,"July 12, 2021",2,truck,pickup,7am,Morning
414,gulshan,"July 11, 2021",11,car,,11am,Morning
415,kalihati,"July 03, 2021",5,pickup,,7am,Morning
416,chala,"July 03, 2021",5,pickup,,7am,Morning
417,chattogram,"June 30, 2021",2,rickshaw,,12pm,Night
422,dhaka,"June 19, 2021",2,bus,,10pm,Night
423,gulshan,"June 19, 2021",2,bus,,10pm,Night
424,chattogram,"June 19, 2021",10,bus,rickshaw,3pm,Afternoon
427,manikganj,"June 13, 2021",3,truck,car,9am,Morning
429,dhaka,"June 03, 2021",1,bus,,6am,Morning
430,bhola,"May 28, 2021",7,bus,rickshaw,3pm,Afternoon
431,dhaka,"May 28, 2021",7,bus,rickshaw,3pm,Afternoon
432,bijoynagar,"May 20, 2021",3,car,truck,6am,Morning
433,brahmanbaria,"May 20, 2021",3,car,truck,6am,Morning
434,chandpur,"May 19, 2021",4,rickshaw,auto-rickshaw,12pm,Night
435,sonapur,"May 19, 2021",4,rickshaw,auto-rickshaw,12pm,Night
436,kishoreganj,"May 17, 2021",2,car,motorcycle,6pm,Evening
437,mithamoin,"May 17, 2021",2,car,motorcycle,6pm,Evening
438,sylhet,"May 16, 2021",2,bus,car,1pm,Afternoon
439,habiganj,"May 16, 2021",2,bus,car,1pm,Afternoon
440,chapainawabganj,"May 15, 2021",3,truck,rickshaw,9am,Morning
441,banshkhali,"May 10, 2021",3,rickshaw,,11am,Morning
442,chattogram,"May 10, 2021",3,rickshaw,,11am,Morning
444,jatrabari,"April 16, 2021",2,rickshaw,car,8am,Morning
445,puthia,"April 05, 2021",2,truck,,6am,Morning
446,sultanpur,"April 05, 2021",2,truck,,6am,Morning
447,srinagar,"April 05, 2021",4,rickshaw,auto-rickshaw,7am,Morning
448,pabna,"April 02, 2021",10,motorcycle,truck,10am,Morning
451,chandraghona,"March 26, 2021",4,rickshaw,truck,8pm,Night
453,faridpur,"March 21, 2021",8,truck,bus,7am,Morning
454,satkania,"March 20, 2021",2,motorcycle,bus,7am,Morning
455,lohagara,"March 20, 2021",2,motorcycle,bus,7am,Morning
456,sirajganj,"March 20, 2021",6,rickshaw,truck,6pm,Evening
457,chattogram,"March 20, 2021",6,rickshaw,truck,6pm,Evening
458,jashore,"March 17, 2021",6,truck,bike,6pm,Evening
459,nabharan,"March 17, 2021",6,truck,bike,6pm,Evening
462,chattogram,"March 13, 2021",2,truck,bus,5am,Morning
463,sirajdikhan,"March 08, 2021",2,bus,,1pm,Afternoon
464,dhaka,"March 08, 2021",2,bus,,1pm,Afternoon
466,kadamtali,"March 06, 2021",9,rickshaw,,9am,Morning
467,dhaka,"March 06, 2021",9,rickshaw,,9am,Morning
468,satkhira,"March 06, 2021",1,motorcycle,pickup,5pm,Afternoon
469,chuknagar,"March 06, 2021",1,motorcycle,pickup,5pm,Afternoon
470,faridpur,"March 04, 2021",3,bus,car,5am,Morning
471,nagarkanda,"March 04, 2021",3,bus,car,5am,Morning
472,sylhet,"February 26, 2021",9,bus,,6am,Morning
474,bagatipara,"February 25, 2021",2,motorcycle,,2am,Night
477,shariatpur,"February 21, 2021",2,motorcycle,bus,12pm,Night
478,khulna,"February 20, 2021",2,bike,truck,10pm,Night
480,chattogram,"February 19, 2021",1,pickup,bus,1pm,Afternoon
481,brahmanbaria,"February 19, 2021",5,motorcycle,truck,3pm,Afternoon
484,jaintiapur,"February 14, 2021",2,truck,motorcycle,5am,Morning
485,sylhet,"February 14, 2021",2,truck,motorcycle,5am,Morning
488,santhia,"February 06, 2021",9,truck,,9pm,Night
489,pabna,"February 06, 2021",9,truck,,9pm,Night
490,gazaria,"January 29, 2021",2,bus,,4am,Night
494,dhaka,"January 21, 2021",4,bike,truck,2pm,Afternoon
495,faridpur,"January 21, 2021",4,bike,truck,2pm,Afternoon
496,gazipur,"January 20, 2021",6,bike,car,6am,Morning
497,chandura,"January 20, 2021",6,bike,car,6am,Morning
498,bhanga,"January 20, 2021",3,bus,,12pm,Night
499,faridpur,"January 20, 2021",3,bus,,12pm,Night
500,kurigram,"January 19, 2021",2,truck,motorcycle,3pm,Afternoon
501,gangachara,"January 19, 2021",2,truck,motorcycle,3pm,Afternoon
502,dhaka,"January 18, 2021",7,bus,motorcycle,7 am,Morning
503,khilkhet,"January 18, 2021",7,bus,motorcycle,7 am,Morning
504,dhaka,"January 17, 2021",1,pickup,,5am,Morning
506,jhenaidah,"January 13, 2021",7,bus,truck,6pm,Evening
508,sylhet,"January 12, 2021",2,truck,motorcycle,10pm,Night
509,shyamnagar,"January 10, 2021",2,bus,,8am,Morning
510,khulna,"January 10, 2021",2,bus,,8am,Morning
511,nalchhiti,"January 09, 2021",2,motorcycle,truck,10pm,Night
512,shahjadpur,"January 09, 2021",2,motorcycle,truck,10pm,Night
513,shahjadpur,"January 08, 2021",2,rickshaw,auto-rickshaw,6am,Morning
516,mirpur,"January 06, 2021",1,bike,,10pm,Night
517,dhaka,"January 05, 2021",1,bike,,7pm,Evening
519,alipur,"January 05, 2021",1,motorcycle,pickup,9pm,Night
521,ukhiya,"January 05, 2021",1,truck,motorcycle,10am,Morning
522,teknaf,"January 05, 2021",1,truck,motorcycle,10am,Morning
523,gazipur,"January 03, 2021",1,bus,truck,11am,Morning
525,darikandi,"January 01, 2021",4,car,bus,4pm,Afternoon
526,narsingdi,"January 01, 2021",4,car,bus,4pm,Afternoon
527,uttara,"December 31, 2020",1,motorcycle,bike,11pm,Night
528,gulshan,"December 31, 2020",1,motorcycle,bike,11pm,Night
530,ghatail,"December 28, 2020",3,truck,motorcycle,12pm,Night
531,tangail,"December 28, 2020",3,truck,motorcycle,12pm,Night
532,laxmipur,"December 26, 2020",1,truck,motorcycle,10am,Morning
536,sylhet,"December 21, 2020",2,bus,motorcycle,2pm,Afternoon
539,sylhet,"December 07, 2020",8,bus,rickshaw,4pm,Afternoon
540,jatrabari,"December 04, 2020",10,motorcycle,truck,11am,Morning
541,dhaka,"December 04, 2020",10,motorcycle,truck,11am,Morning
542,manikganj,"December 04, 2020",7,rickshaw,bus,2pm,Afternoon
546,jhenaidah,"November 29, 2020",2,motorcycle,,10am,Morning
547,tungipara,"November 28, 2020",4,bus,,10am,Morning
548,pirojpur,"November 28, 2020",4,bus,,10am,Morning
551,chapainawabganj,"November 19, 2020",9,car,truck,5 am,Morning
552,naogaon,"November 19, 2020",9,car,truck,5 am,Morning
553,noakhali,"November 12, 2020",10,bus,,10pm,Night
554,matuail,"November 12, 2020",10,bus,,10pm,Night
555,jatrabari,"November 11, 2020",1,bus,,11am,Morning
557,lakshmipur,"November 03, 2020",5,truck,train,3pm,Afternoon
